"PID","PROV_ID_TYPE","ID_PROVIDER","ID_DOC","ID_LETTER_EXTERNAL","DTE_ADDED"
"1181","MCD","0035287        ","6514311001955","FIN-3310-O          ","07-NOV-14"
"10302934","MCD","0052341        ","6514311001956","FIN-3310-O          ","07-NOV-14"
"10308883","MCD","0058521        ","6514311001957","FIN-3310-O          ","07-NOV-14"
"10308936","MCD","0058575        ","6514311001958","FIN-3310-O          ","07-NOV-14"
"10308938","MCD","0058577        ","6514311001959","FIN-3310-O          ","07-NOV-14"
"10341497","MCD","0092366        ","6514311001960","FIN-3310-O          ","07-NOV-14"
"10346075","MCD","0097147        ","6514311001961","FIN-3310-O          ","07-NOV-14"
"10315939","MCD","0065845        ","6514311001962","FIN-3310-O          ","07-NOV-14"
"10316822","MCD","0066771        ","6514311001963","FIN-3310-O          ","07-NOV-14"
"10317902","MCD","0067898        ","6514311001964","FIN-3310-O          ","07-NOV-14"
"10321689","MCD","0071888        ","6514311001965","FIN-3310-O          ","07-NOV-14"
"10321843","MCD","0072048        ","6514311001966","FIN-3310-O          ","07-NOV-14"
"10321870","MCD","0072076        ","6514311001967","FIN-3310-O          ","07-NOV-14"
"10321906","MCD","0072115        ","6514311001968","FIN-3310-O          ","07-NOV-14"
"10321916","MCD","0072125        ","6514311001969","FIN-3310-O          ","07-NOV-14"
"10321939","MCD","0072148        ","6514311001970","FIN-3310-O          ","07-NOV-14"
"10321974","MCD","0072183        ","6514311001972","FIN-3310-O          ","07-NOV-14"
"10321980","MCD","0072189        ","6514311001973","FIN-3310-O          ","07-NOV-14"
"10322032","MCD","0072244        ","6514311001974","FIN-3310-O          ","07-NOV-14"
"10322040","MCD","0072252        ","6514311001975","FIN-3310-O          ","07-NOV-14"
"10322043","MCD","0072256        ","6514311001976","FIN-3310-O          ","07-NOV-14"
"10322109","MCD","0072324        ","6514311001977","FIN-3310-O          ","07-NOV-14"
"10322160","MCD","0072378        ","6514311001978","FIN-3310-O          ","07-NOV-14"
"10324950","MCD","0075273        ","6514311001979","FIN-3310-O          ","07-NOV-14"
"10326232","MCD","0076598        ","6514311001980","FIN-3310-O          ","07-NOV-14"
"10326233","MCD","0076599        ","6514311001981","FIN-3310-O          ","07-NOV-14"
"10327725","MCD","0078146        ","6514311001982","FIN-3310-O          ","07-NOV-14"
"10327747","MCD","0078169        ","6514311001983","FIN-3310-O          ","07-NOV-14"
"10327936","MCD","0078367        ","6514311001984","FIN-3310-O          ","07-NOV-14"
"10328552","MCD","0079008        ","6514311001985","FIN-3310-O          ","07-NOV-14"
"10328560","MCD","0079016        ","6514311001986","FIN-3310-O          ","07-NOV-14"
"10332762","MCD","0083361        ","6514311001987","FIN-3310-O          ","07-NOV-14"
"10332764","MCD","0083363        ","6514311001988","FIN-3310-O          ","07-NOV-14"
"4119","MCD","0106218        ","6514311001989","FIN-3310-O          ","07-NOV-14"
"5002","MCD","0115048        ","6514311001990","FIN-3310-O          ","07-NOV-14"
"5165","MCD","0116672        ","6514311001991","FIN-3310-O          ","07-NOV-14"
"5439","MCD","0119419        ","6514311001992","FIN-3310-O          ","07-NOV-14"
"5440","MCD","0119428        ","6514311001993","FIN-3310-O          ","07-NOV-14"
"5441","MCD","0119437        ","6514311001994","FIN-3310-O          ","07-NOV-14"
"5442","MCD","0119446        ","6514311001995","FIN-3310-O          ","07-NOV-14"
"5895","MCD","0123986        ","6514311001996","FIN-3310-O          ","07-NOV-14"
"6767","MCD","0132707        ","6514311001997","FIN-3310-O          ","07-NOV-14"
"6768","MCD","0132716        ","6514311001998","FIN-3310-O          ","07-NOV-14"
"7556","MCD","0140592        ","6514311001999","FIN-3310-O          ","07-NOV-14"
"7655","MCD","0141582        ","6514311002000","FIN-3310-O          ","07-NOV-14"
"8682","MCD","0151857        ","6514311002001","FIN-3310-O          ","07-NOV-14"
"9438","MCD","0159439        ","6514311002002","FIN-3310-O          ","07-NOV-14"
"9481","MCD","0159868        ","6514311002003","FIN-3310-O          ","07-NOV-14"
"12119","MCD","0186258        ","6514311002004","FIN-3310-O          ","07-NOV-14"
"13172","MCD","0196783        ","6514311002005","FIN-3310-O          ","07-NOV-14"
"15215","MCD","0217214        ","6514311002006","FIN-3310-O          ","07-NOV-14"
"15798","MCD","0223056        ","6514311002007","FIN-3310-O          ","07-NOV-14"
"16512","MCD","0230208        ","6514311002008","FIN-3310-O          ","07-NOV-14"
"16834","MCD","0233429        ","6514311002009","FIN-3310-O          ","07-NOV-14"
"17974","MCD","0244828        ","6514311002010","FIN-3310-O          ","07-NOV-14"
"21534","MCD","0280422        ","6514311002011","FIN-3310-O          ","07-NOV-14"
"23899","MCD","0304085        ","6514311002012","FIN-3310-O          ","07-NOV-14"
"23916","MCD","0304254        ","6514311002013","FIN-3310-O          ","07-NOV-14"
"24895","MCD","0314047        ","6514311002014","FIN-3310-O          ","07-NOV-14"
"26501","MCD","0330109        ","6514311002015","FIN-3310-O          ","07-NOV-14"
"27819","MCD","0343284        ","6514311002016","FIN-3310-O          ","07-NOV-14"
"27820","MCD","0343293        ","6514311002017","FIN-3310-O          ","07-NOV-14"
"28009","MCD","0345184        ","6514311002018","FIN-3310-O          ","07-NOV-14"
"28035","MCD","0345442        ","6514311002019","FIN-3310-O          ","07-NOV-14"
"28049","MCD","0345586        ","6514311002020","FIN-3310-O          ","07-NOV-14"
"28086","MCD","0345951        ","6514311002021","FIN-3310-O          ","07-NOV-14"
"29304","MCD","0358134        ","6514311002022","FIN-3310-O          ","07-NOV-14"
