MMIS_MD_ID|INTERFACE_ID|ELEMENT_NAME|LENGTH|SEQUENCE_NUM|REQUIRED
623|1|MAX-TRANS-ID|10|10|False
624|1|MAX-ACTION|2|20|False
625|1|MAX-PDMS-ID|10|30|False
626|1|P-ID|9|40|False
627|1|P-RA-MEDM-CD|1|50|False
628|1|P-LOCN-CD|1|60|False
629|1|P-RA-SORT-SEQ-CD|1|70|False
630|1|P-RA-PRT-SUSP-CD|1|80|False
631|1|P-PRACT-TY-CD|1|90|False
632|1|P-INDIV-GRP-CD|1|100|False
633|1|P-SSN-NUM|9|110|False
634|1|P-NPI-NUM|10|120|False
635|1|P-NABP-NUM|11|130|False
636|1|P-DEA-NUM|11|140|False
637|1|P-DEA-EFF-DT|10|150|False
638|1|P-DEA-EXP-DT|10|160|False
639|1|P-DBA-NAM|35|170|False
640|1|P-DBA-ORG-IND|1|180|False
641|1|P-DBA-LAST-NAM|35|190|False
642|1|P-DBA-FST-NAM|15|200|False
643|1|P-DBA-MI-NAM|1|210|False
644|1|P-NAM|35|220|False
645|1|P-NAM-ORG-IND|1|230|False
646|1|P-LAST-NAM|35|240|False
647|1|P-FST-NAM|15|250|False
648|1|P-MI-NAM|1|260|False
649|1|P-FACI-FY-MO-NUM|2|270|False
650|1|P-MCARE-IND|1|280|False
651|1|P-MCARE-NUM|10|290|False
652|1|P-MCARE-BEG-DT|10|300|False
653|1|P-MCARE-END-DT|10|310|False
654|1|P-PROFIT-IND|1|320|False
655|1|P-BLNG-CD|1|330|False
656|1|P-PROF-TECH-IND|1|340|False
657|1|P-ATYP-IND|1|350|False
658|1|P-PYMT-MTHD-CD|1|360|False
659|1|P-1099-CD|1|370|False
660|1|P-TOT-BED-NUM|4|380|False
661|1|P-BILLING-TAX-KEY-ID|9|390|False
662|1|P-BILLING-NAM-ORG-IND|1|400|False
663|1|P-BILLING-NAM|35|410|False
664|1|P-BILLING-LAST-NAM|35|420|False
665|1|P-BILLING-FST-NAM|15|430|False
666|1|P-BILLING-MI-NAM|1|440|False
667|1|P-BILLING-SFX-NAM|5|450|False
668|1|P-BILLING-ST-CD|2|460|False
669|1|P-BILLING-CNTY-CD|2|470|False
670|1|P-BILLING-LINE1-AD|30|480|False
671|1|P-BILLING-LINE2-AD|30|490|False
672|1|P-BILLING-CITY-NAM|20|500|False
673|1|P-BILLING-ZIP4-CD|4|510|False
674|1|P-BILLING-ZIP5-CD|5|520|False
675|1|P-BILLING-PHON-NUM|10|530|False
676|1|P-BILLING-FAX-NUM|10|540|False
677|1|P-BILLING-CONTCT-NAM|35|550|False
678|1|P-BILLING-CONTCT-PHON-NUM|10|560|False
679|1|P-BILLING-CONTCT-EMAIL-AD|128|570|False
680|1|G-BILLING-QUAD-CD|2|580|False
681|1|G-BILLING-WARD-CD|2|590|False
682|1|P-SERVICING-NAM-ORG-IND|1|600|False
683|1|P-SERVICING-NAM|35|610|False
684|1|P-SERVICING-LAST-NAM|35|620|False
685|1|P-SERVICING-FST-NAM|15|630|False
686|1|P-SERVICING-MI-NAM|1|640|False
687|1|P-SERVICING-SFX-NAM|5|650|False
688|1|P-SERVICING-ST-CD|2|660|False
689|1|P-SERVICING-CNTY-CD|2|670|False
690|1|P-SERVICING-LINE1-AD|30|680|False
691|1|P-SERVICING-LINE2-AD|30|690|False
692|1|P-SERVICING-CITY-NAM|20|700|False
693|1|P-SERVICING-ZIP4-CD|4|710|False
694|1|P-SERVICING-ZIP5-CD|5|720|False
695|1|P-SERVICING-PHON-NUM|10|730|False
696|1|P-SERVICING-FAX-NUM|10|740|False
697|1|P-SERVICING-CONTCT-NAM|35|750|False
698|1|P-SERVICING-CONTCT-PHON-NUM|10|760|False
699|1|P-SERVICING-CONTCT-EMAIL-AD|128|770|False
700|1|G-SERVICING-QUAD-CD|2|780|False
701|1|G-SERVICING-WARD-CD|2|790|False
702|1|P-MAIL-TO-NAM-ORG-IND|1|800|False
703|1|P-MAIL-TO-NAM|35|810|False
704|1|P-MAIL-TO-LAST-NAM|35|820|False
705|1|P-MAIL-TO-FST-NAM|15|830|False
706|1|P-MAIL-TO-MI-NAM|1|840|False
707|1|P-MAIL-TO-SFX-NAM|5|850|False
708|1|P-MAIL-TO-ST-CD|2|860|False
709|1|P-MAIL-TO-CNTY-CD|2|870|False
710|1|P-MAIL-TO-LINE1-AD|30|880|False
711|1|P-MAIL-TO-LINE2-AD|30|890|False
712|1|P-MAIL-TO-CITY-NAM|20|900|False
713|1|P-MAIL-TO-ZIP4-CD|4|910|False
714|1|P-MAIL-TO-ZIP5-CD|5|920|False
715|1|P-MAIL-PHON-NUM|10|930|False
716|1|P-MAIL-FAX-NUM|10|940|False
717|1|P-MAIL-CONTCT-NAM|35|950|False
