Provider or Internal View,Page Name,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician/Osteopath Individual,Physician Assistant,Chiropractor Individual,Dentist Individual,Dentist Individual,Optometrist Individual,Podiatrist Individual ,Podiatrist Individual ,Podiatrist Individual ,Psychologist,Psychologist,Psychologist,Psychologist,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Clinical Nurse Specialist Individual,Nurse Midwife Individual,Nurse Midwife Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual,Nurse Practitioner Individual
,PROVIDER TYPE,20,20,20,20,24,27,30,30,35,36,36,36,42,42,42,42,65,65,65,65,71,71,72,72,72,72
,Yes,,760,761,762,,,,303,,,760,762,,422,423,424,,760,761,762,,760,,760,761,762
Provider Entry/Provider Access Pages,Provider Information,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Provider Entry/Provider Access Pages,Primary Contact Information,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Provider Entry/Provider Access Pages,Credentialing Contact ,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,N,N,O,O,O,O,O,O
Provider Entry/Provider Access Pages,CPC Contact ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Provider Entry/Provider Access Pages,Office Information,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O
Provider Entry/Provider Access Pages,Primary Service Address,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Provider Entry/Provider Access Pages,Billing Payment Address,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
Provider Entry/Provider Access Pages,Correspondence Address,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
